Date,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume,Cryptoname
2021-11-06,4477.29,4538.29,4325.91,4521.40,1062427.875,2021-11-07,4714538239.73170,1772519,508882.163,2258991666.33596,ETHUSDT
2021-11-07,4521.70,4642.76,4505.41,4616.50,832391.585,2021-11-08,3816126139.59038,1498090,412610.985,1891683364.97617,ETHUSDT
2021-11-08,4616.51,4830.66,4615.21,4814.30,1214445.239,2021-11-09,5753273555.99257,1852982,600814.466,2846643721.78804,ETHUSDT
2021-11-09,4814.13,4844.97,4714.83,4734.98,1151973.219,2021-11-10,5516088243.02753,1828390,566090.194,2710811120.22053,ETHUSDT
2021-11-10,4734.99,4877.54,4450.00,4632.21,1848828.004,2021-11-11,8703427804.71559,2683461,893119.456,4206427904.45018,ETHUSDT
2021-11-11,4632.42,4783.12,4580.90,4721.19,1146003.874,2021-11-12,5380011627.03747,1806373,561937.342,2638555334.08641,ETHUSDT
2021-11-12,4721.19,4811.00,4508.00,4665.99,1671025.399,2021-11-13,7762478251.17218,2375978,808217.322,3754824704.91141,ETHUSDT
2021-11-13,4665.99,4708.00,4585.11,4644.42,812743.805,2021-11-14,3779188246.75865,1276335,396529.633,1844110214.93499,ETHUSDT
2021-11-14,4644.42,4700.00,4515.84,4629.44,947148.676,2021-11-15,4354962791.23766,1515170,465622.932,2141248755.16082,ETHUSDT
2021-11-15,4629.75,4771.83,4541.44,4567.01,1351110.691,2021-11-16,6306501839.02235,1987809,654767.664,3057384166.84025,ETHUSDT
2021-11-16,4567.01,4567.07,4077.00,4209.42,2734039.543,2021-11-17,11760055645.26550,3378829,1294570.176,5568312120.65498,ETHUSDT
2021-11-17,4209.42,4300.00,4062.00,4287.99,1860601.927,2021-11-18,7783640525.67040,2438404,913440.006,3822140764.47525,ETHUSDT
2021-11-18,4288.00,4343.33,3957.96,3997.72,2286170.467,2021-11-19,9439478791.19713,2883206,1101340.529,4548270753.77164,ETHUSDT
2021-11-19,3997.72,4309.04,3973.14,4293.44,1514406.552,2021-11-20,6266188518.48803,2130976,760953.458,3149274789.03821,ETHUSDT
2021-11-20,4293.44,4436.01,4202.24,4412.55,1143613.530,2021-11-21,4931186882.83004,1814583,574462.367,2477445176.05412,ETHUSDT
2021-11-21,4412.37,4425.73,4242.00,4259.23,996488.568,2021-11-22,4334385457.28967,1635793,482160.094,2097727947.94851,ETHUSDT
2021-11-22,4259.28,4327.75,4019.35,4086.57,1891091.913,2021-11-23,7905984342.52000,2702558,926476.644,3874314370.68371,ETHUSDT
2021-11-23,4086.41,4387.00,4059.55,4341.36,1636864.585,2021-11-24,6895439496.10744,2491307,818923.192,3450540823.66869,ETHUSDT
2021-11-24,4341.36,4377.00,4170.38,4271.29,1365898.959,2021-11-25,5822609661.59857,2149379,671854.736,2864057507.82437,ETHUSDT
2021-11-25,4271.29,4558.29,4250.34,4527.86,1247655.550,2021-11-26,5497303917.35342,1984519,624230.543,2750335857.33328,ETHUSDT
2021-11-26,4528.20,4555.00,3911.00,4040.66,2657050.069,2021-11-27,11001572746.45120,3467510,1272401.024,5266372605.48750,ETHUSDT
2021-11-27,4040.66,4182.66,4027.32,4095.33,1008009.177,2021-11-28,4148428146.16350,1684637,491467.184,2022800265.44980,ETHUSDT
2021-11-28,4095.33,4301.07,3958.58,4296.60,1512818.390,2021-11-29,6210487095.14454,2143420,746165.656,3065377996.76414,ETHUSDT
2021-11-29,4297.01,4460.00,4280.00,4445.10,1432921.208,2021-11-30,6245171955.45936,2026318,720031.636,3138621395.99998,ETHUSDT
2021-11-30,4445.09,4757.80,4347.90,4631.51,2573876.207,2021-12-01,11742857991.16934,3626412,1290984.307,5891350018.04904,ETHUSDT
2021-12-01,4631.43,4783.19,4528.50,4586.66,1861557.163,2021-12-02,8721654100.22072,2896669,921965.251,4320347492.04115,ETHUSDT
2021-12-02,4586.67,4636.86,4435.76,4514.32,1767131.692,2021-12-03,8009972829.01313,2593287,866156.227,3926923239.19776,ETHUSDT
2021-12-03,4514.32,4658.00,4004.00,4213.66,2648380.120,2021-12-04,11599142242.40267,3359014,1276987.557,5596391806.19256,ETHUSDT
2021-12-04,4213.67,4237.20,3388.15,4115.79,3531695.892,2021-12-05,13904957699.91255,4397362,1685267.694,6640391060.72415,ETHUSDT
2021-12-05,4115.79,4247.19,4033.00,4197.53,1909767.851,2021-12-06,7920029236.98750,2872269,955878.632,3964943993.80484,ETHUSDT
2021-12-06,4197.52,4377.58,3920.00,4345.20,2601175.770,2021-12-07,10673116598.55363,3318691,1301601.745,5343433952.33640,ETHUSDT
2021-12-07,4345.44,4425.00,4255.27,4305.82,1388803.726,2021-12-08,6040967486.57935,2183483,704132.906,3063544353.67864,ETHUSDT
2021-12-08,4305.83,4454.60,4224.98,4435.33,1443466.295,2021-12-09,6276303882.73508,2219642,724161.277,3149719726.26192,ETHUSDT
2021-12-09,4435.70,4490.97,4075.00,4103.80,1905332.516,2021-12-10,8128100154.37248,2592152,934239.558,3986375203.94699,ETHUSDT
2021-12-10,4103.80,4232.00,3882.84,3895.95,2123045.506,2021-12-11,8630315816.21057,2976443,1037613.313,4219590637.71057,ETHUSDT
2021-12-11,3895.85,4094.82,3831.01,4089.81,1729754.927,2021-12-12,6927855786.59676,2513364,858826.723,3440497966.36373,ETHUSDT
2021-12-12,4088.86,4173.37,3985.00,4129.00,1044691.201,2021-12-13,4250371718.97262,1673043,524919.175,2136460514.84705,ETHUSDT
2021-12-13,4129.16,4142.00,3668.34,3780.63,2252296.914,2021-12-14,8753636591.89626,3204210,1077590.630,4187782053.06397,ETHUSDT
2021-12-14,3780.33,3879.13,3682.00,3856.66,1718001.410,2021-12-15,6516584351.17794,2471176,860515.690,3264805929.02826,ETHUSDT
2021-12-15,3856.67,4096.00,3639.39,4019.01,2415815.067,2021-12-16,9333255722.11962,3239561,1216293.854,4700575007.80404,ETHUSDT
2021-12-16,4019.01,4118.47,3951.14,3958.67,1603846.854,2021-12-17,6477885416.67551,2294353,795052.944,3212317695.69258,ETHUSDT
2021-12-17,3958.70,3992.99,3694.20,3873.93,2112402.041,2021-12-18,8150384191.83720,2881093,1044417.811,4031405178.37710,ETHUSDT
2021-12-18,3872.98,3997.39,3764.96,3957.64,1306368.673,2021-12-19,5102991865.01633,2125631,664862.037,2597645006.46707,ETHUSDT
2021-12-19,3957.65,4034.99,3881.89,3922.51,1402356.037,2021-12-20,5534488536.14064,2030727,695606.922,2746249783.37654,ETHUSDT
2021-12-20,3922.51,3981.48,3750.00,3943.48,1741509.419,2021-12-21,6712525820.97073,2653960,862794.397,3326602572.65187,ETHUSDT
2021-12-21,3943.64,4063.00,3912.26,4014.38,1246421.469,2021-12-22,4984828563.72327,2100781,633136.610,2532105700.40649,ETHUSDT
2021-12-22,4014.38,4074.99,3924.36,3978.62,1076095.044,2021-12-23,4313444572.42589,1685371,533760.196,2139959337.15589,ETHUSDT
2021-12-23,3978.63,4153.71,3888.87,4111.30,1586935.899,2021-12-24,6342305120.28279,2574870,790942.203,3162412138.89739,ETHUSDT
2021-12-24,4111.31,4133.38,4014.45,4045.00,1026594.079,2021-12-25,4194323368.26720,1959357,503307.492,2057074991.90787,ETHUSDT
2021-12-25,4045.19,4138.47,4015.00,4093.87,890361.594,2021-12-26,3621803415.02818,1550150,452393.340,1840765246.64893,ETHUSDT
2021-12-26,4093.88,4104.84,4002.00,4062.24,767517.751,2021-12-27,3110302732.49935,1214270,374805.140,1519130421.78793,ETHUSDT
2021-12-27,4062.40,4126.00,4030.06,4037.36,837344.643,2021-12-28,3412512083.97403,1346208,405956.805,1654814228.90877,ETHUSDT
2021-12-28,4037.35,4037.36,3756.26,3791.99,1675203.532,2021-12-29,6515358318.89518,2329455,808767.898,3146041359.67125,ETHUSDT
2021-12-29,3792.00,3825.91,3600.45,3628.55,1318187.731,2021-12-30,4938307811.88661,1811791,628740.042,2357157171.53485,ETHUSDT
2021-12-30,3628.49,3766.71,3580.00,3708.37,1023870.718,2021-12-31,3783727767.90478,1468765,511459.256,1890710432.46539,ETHUSDT
2021-12-31,3708.45,3814.95,3621.32,3676.02,1343940.174,2022-01-01,5019121901.30920,1718536,657338.460,2455318242.51639,ETHUSDT
2022-01-01,3676.01,3776.33,3671.86,3763.06,755619.793,2022-01-02,2815651909.34339,1253371,374973.370,1397453273.20879,ETHUSDT
2022-01-02,3763.05,3860.00,3714.48,3826.21,740079.430,2022-01-03,2798657676.16421,1251669,380197.071,1438262996.19347,ETHUSDT
2022-01-03,3826.10,3850.00,3680.00,3764.07,999879.353,2022-01-04,3777721163.97305,1481803,485541.732,1834763812.23665,ETHUSDT
2022-01-04,3764.07,3893.19,3711.00,3785.60,1253780.690,2022-01-05,4775534414.28812,1702557,631582.491,2406003407.58924,ETHUSDT
2022-01-05,3785.60,3847.18,3405.00,3537.71,1813981.948,2022-01-06,6675092541.77517,2392846,870855.603,3205775294.72495,ETHUSDT
2022-01-06,3537.81,3549.11,3292.31,3404.60,1840489.348,2022-01-07,6279177286.15747,2474832,902767.537,3080987789.69944,ETHUSDT
2022-01-07,3404.61,3415.35,3040.77,3196.58,2855226.352,2022-01-08,9156175041.42808,3635807,1385097.550,4442877232.85936,ETHUSDT
2022-01-08,3196.58,3248.03,2996.45,3080.03,1859886.155,2022-01-09,5808043464.37497,2323042,915949.549,2860873049.35190,ETHUSDT
2022-01-09,3079.86,3209.40,3057.00,3150.00,1230848.792,2022-01-10,3853748750.33209,1652895,618102.939,1935566723.02496,ETHUSDT
2022-01-10,3149.99,3179.16,2924.78,3081.31,2322294.565,2022-01-11,7079565083.20333,2638378,1148983.072,3502967966.63497,ETHUSDT
2022-01-11,3081.25,3262.66,3050.58,3236.86,1533503.746,2022-01-12,4836151992.53377,1894382,773577.009,2439879607.61130,ETHUSDT
2022-01-12,3236.86,3411.00,3203.85,3369.93,1435454.649,2022-01-13,4753099829.92951,1901450,737104.090,2441631267.65085,ETHUSDT
2022-01-13,3369.92,3408.89,3230.97,3240.36,1374273.064,2022-01-14,4558640511.93513,1775539,671380.571,2227413038.34845,ETHUSDT
2022-01-14,3240.32,3342.63,3181.20,3305.60,1309794.267,2022-01-15,4271754423.42846,1677945,658810.445,2149597068.08969,ETHUSDT
2022-01-15,3305.61,3372.00,3257.59,3324.05,809020.133,2022-01-16,2687321901.17641,1399475,403309.029,1340071430.72307,ETHUSDT
2022-01-16,3324.06,3394.62,3269.01,3345.49,934941.801,2022-01-17,3112687274.02912,1443664,475563.740,1583857257.27678,ETHUSDT
2022-01-17,3345.50,3355.30,3139.37,3208.61,1440138.934,2022-01-18,4673076476.50251,1905930,713648.866,2315979167.25524,ETHUSDT
2022-01-18,3208.60,3243.95,3080.50,3159.32,1589444.667,2022-01-19,5010157515.14645,1918856,792354.659,2497982478.65501,ETHUSDT
2022-01-19,3159.31,3174.60,3045.00,3082.81,1668517.082,2022-01-20,5189639864.18362,2154279,827915.615,2575812422.60448,ETHUSDT
2022-01-20,3082.80,3272.24,2985.00,2999.92,1880719.448,2022-01-21,5926009927.59850,2206660,951170.197,2998472472.20511,ETHUSDT
2022-01-21,2999.92,3031.90,2460.00,2566.91,4517274.359,2022-01-22,12514701125.46148,4897029,2200477.083,6098060560.24197,ETHUSDT
2022-01-22,2566.91,2625.60,2293.56,2410.96,4662398.873,2022-01-23,11407543010.03600,5193460,2315583.584,5667992037.60323,ETHUSDT
2022-01-23,2410.57,2549.00,2368.00,2538.41,2371974.868,2022-01-24,5833997685.39064,2629510,1211371.166,2980950643.00904,ETHUSDT
2022-01-24,2538.40,2539.59,2151.00,2438.13,4694300.254,2022-01-25,10840194199.53302,5281222,2366956.599,5465216077.75400,ETHUSDT
2022-01-25,2437.87,2504.98,2349.60,2457.37,2325976.562,2022-01-26,5636577032.24078,2812723,1179167.455,2858603889.84165,ETHUSDT
2022-01-26,2457.37,2720.06,2400.01,2461.61,3370868.336,2022-01-27,8579635823.06901,3854865,1711041.047,4356821161.78977,ETHUSDT
2022-01-27,2461.62,2520.00,2314.33,2422.61,2706734.602,2022-01-28,6551124353.29313,3054308,1357961.379,3287944611.31250,ETHUSDT
2022-01-28,2422.61,2556.93,2357.00,2543.34,2394675.788,2022-01-29,5832709367.68838,2814629,1225252.464,2986707220.13692,ETHUSDT
2022-01-29,2543.34,2658.41,2519.21,2599.94,1522389.395,2022-01-30,3909322807.94748,1950275,768347.892,1973963749.76406,ETHUSDT
2022-01-30,2599.93,2644.93,2541.46,2600.45,1322236.477,2022-01-31,3431223524.16989,1713681,677924.103,1759815045.63828,ETHUSDT
2022-01-31,2600.45,2706.47,2475.33,2685.34,2119778.986,2022-02-01,5497599951.88833,2511180,1092721.930,2836083345.48585,ETHUSDT
2022-02-01,2685.34,2812.94,2672.61,2786.38,2054796.845,2022-02-02,5668520842.67734,2514252,1054869.861,2910128881.82822,ETHUSDT
2022-02-02,2786.37,2810.00,2610.40,2678.00,2354857.007,2022-02-03,6390741360.31646,2588322,1161329.836,3152533644.88095,ETHUSDT
2022-02-03,2678.47,2722.99,2572.64,2694.37,2171742.641,2022-02-04,5720509414.67786,2508451,1091608.761,2875951988.55035,ETHUSDT
2022-02-04,2694.20,2995.00,2670.14,2993.65,2953883.898,2022-02-05,8398868704.49046,3399565,1531423.303,4354458886.96182,ETHUSDT
2022-02-05,2993.64,3059.91,2958.01,3011.59,1557391.545,2022-02-06,4687429957.09237,2014040,786711.318,2368379630.75496,ETHUSDT
2022-02-06,3011.58,3075.00,2948.00,3054.26,1151529.849,2022-02-07,3460851097.78940,1457326,581357.686,1747828840.36891,ETHUSDT
2022-02-07,3054.26,3185.99,2990.83,3138.55,1920591.918,2022-02-08,5945879846.53350,2234372,978279.765,3029389030.73493,ETHUSDT
2022-02-08,3138.55,3246.65,3023.28,3115.23,2122006.982,2022-02-09,6598768727.89174,2441605,1056438.505,3285568021.73335,ETHUSDT
2022-02-09,3115.23,3269.16,3052.50,3241.82,1571485.369,2022-02-10,4964808230.62457,2034483,797111.751,2518720555.68676,ETHUSDT
2022-02-10,3241.79,3282.96,3055.24,3070.90,2672791.971,2022-02-11,8499639525.52764,3068978,1333421.559,4241251208.96306,ETHUSDT
2022-02-11,3070.89,3136.55,2873.50,2926.04,2333468.434,2022-02-12,7077554747.74226,2928823,1143123.633,3467983510.90860,ETHUSDT
2022-02-12,2926.03,2983.62,2855.00,2916.93,1869241.526,2022-02-13,5450989532.57656,2296999,920784.062,2685443686.71921,ETHUSDT
2022-02-13,2917.04,2952.66,2830.31,2870.32,1277486.697,2022-02-14,3707939332.48070,1711130,632594.457,1836709733.59703,ETHUSDT
2022-02-14,2870.33,2964.44,2829.80,2928.87,1815960.443,2022-02-15,5263552192.95742,2201211,910997.874,2641127709.00084,ETHUSDT
