Date,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume,Cryptoname,FAGI,RSI
2021-06-13,2370.61,2548.00,2307.41,2508.71,2999871.755,2021-06-14,7188328606.18587,3487459,1525925.946,3657231436.44387,ETHUSDT,23,46.13806161826483
2021-06-14,2508.56,2608.53,2460.00,2579.82,2592645.352,2021-06-15,6555180132.71414,3222665,1290521.625,3262870612.83379,ETHUSDT,28,48.052224458018664
2021-06-15,2579.80,2639.99,2506.81,2544.17,2609572.986,2021-06-16,6731794513.84064,3202340,1280299.567,3303651996.75057,ETHUSDT,38,47.14759651343817
2021-06-16,2544.28,2557.54,2350.00,2366.84,2715755.789,2021-06-17,6669003234.20805,3397557,1311825.535,3222216656.98761,ETHUSDT,33,42.82846548195785
2021-06-17,2366.84,2459.77,2304.15,2372.51,2805257.770,2021-06-18,6695512370.52803,3376157,1385937.222,3307812501.75752,ETHUSDT,26,43.00824259366152
2021-06-18,2372.50,2376.94,2135.04,2231.68,3783368.698,2021-06-19,8552190538.28243,4084330,1828563.137,4135080577.80523,ETHUSDT,25,39.671448477040734
2021-06-19,2231.68,2280.00,2160.00,2163.36,2905034.112,2021-06-20,6458695705.42715,3327674,1470100.703,3269700978.16191,ETHUSDT,23,38.12606227943505
2021-06-20,2163.36,2277.00,2038.94,2242.7,4117443.373,2021-06-21,8843020670.45992,4022782,2057250.128,4419789821.51961,ETHUSDT,21,41.00039536944383
2021-06-21,2242.70,2259.27,1864.36,1884.77,8408243.758,2021-06-22,16807647822.40997,7236677,4185798.929,8367195862.62223,ETHUSDT,23,33.45076086343639
2021-06-22,1884.75,1997.80,1698.64,1878.46,7629543.365,2021-06-23,14223120472.28595,6312124,3839581.315,7161304226.81936,ETHUSDT,10,33.33422912087953
2021-06-23,1878.46,2044.35,1820.30,1966.51,4071236.262,2021-06-24,8043287560.77444,3911111,2071635.936,4093642479.66855,ETHUSDT,14,36.65061696187099
2021-06-24,1966.48,2036.00,1883.47,1989.5,3069218.028,2021-06-25,6018280271.63026,3138446,1552015.492,3043974302.33962,ETHUSDT,22,37.52452606358148
2021-06-25,1989.50,2020.00,1790.00,1808.0,4807609.447,2021-06-26,9024571644.12839,4146621,2387033.261,4480313351.37808,ETHUSDT,27,33.58542549280752
2021-06-26,1808.00,1852.95,1715.00,1828.88,4547442.900,2021-06-27,8078889026.41593,3987444,2308848.452,4103267854.79546,ETHUSDT,20,34.43807800966896
2021-06-27,1828.86,1984.61,1805.00,1980.83,3643084.635,2021-06-28,6776865023.89345,3425455,1860410.820,3463027763.31825,ETHUSDT,22,40.43156751448327
2021-06-28,1981.00,2146.91,1960.31,2083.56,5085737.209,2021-06-29,10414575455.76256,4329165,2572027.957,5267154729.80605,ETHUSDT,25,44.148977554385795
2021-06-29,2083.55,2244.33,2073.00,2165.15,4249854.368,2021-06-30,9211767303.62075,3871897,2136271.170,4631270292.92255,ETHUSDT,25,46.979041190035396
2021-06-30,2165.03,2290.00,2087.23,2275.0,4574440.196,2021-07-01,9905282259.92462,4069369,2305728.283,4995014035.77641,ETHUSDT,28,50.60790237191365
2021-07-01,2274.99,2275.68,2066.00,2105.24,4469383.028,2021-07-02,9572977503.66685,3884220,2192324.049,4695564977.17683,ETHUSDT,28,45.43287141265368
2021-07-02,2105.23,2160.00,2016.43,2152.64,3889555.868,2021-07-03,8073817364.15074,3627842,1968370.271,4086729294.52976,ETHUSDT,21,47.06067017203029
