Date,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume,Cryptoname,FAGI,RSI,MA_50,ROC_26
2022-06-20,1127.88,1174.00,1052.05,1127.83,8647003.105,2022-06-21,9597579628.31477,6312403,4364178.116,4844599049.42852,ETHUSDT,9,28.805377029772174,1898.6738,-41.92430484037075
2022-06-21,1127.82,1194.00,1108.63,1125.47,6719191.952,2022-06-22,7717129837.30618,5305574,3398323.794,3904130483.15408,ETHUSDT,9,28.736214401617737,1864.08,-37.16038905204855
2022-06-22,1125.47,1126.81,1042.00,1049.4,6439701.679,2022-06-23,6985067146.03695,5352603,3175765.898,3445729059.33936,ETHUSDT,11,26.52542970970898,1829.4498,-39.21983145579334
2022-06-23,1049.41,1156.01,1044.16,1143.71,5945329.708,2022-06-24,6567067983.10538,4874275,3082272.559,3405221150.30237,ETHUSDT,11,33.36956454589985,1793.5288,-36.1676359293201
2022-06-24,1143.71,1244.94,1131.36,1224.42,6052742.304,2022-06-25,7195488084.82197,5052858,3169218.721,3768338511.06337,ETHUSDT,11,38.63748199274235,1763.0898000000002,-32.44392948771001
2022-06-25,1224.42,1258.00,1179.03,1241.6,4537650.045,2022-06-26,5514062293.63994,4033237,2306985.166,2804521100.46168,ETHUSDT,14,39.72980084973195,1734.09,-37.85381431224254
2022-06-26,1241.60,1280.00,1193.54,1197.21,4564404.562,2022-06-27,5642425991.65198,3918525,2291631.773,2834459063.06584,ETHUSDT,14,37.85474893099885,1705.3378,-38.34153928556714
2022-06-27,1197.20,1238.89,1172.14,1191.9,4630510.301,2022-06-28,5578212007.99774,3958705,2302243.912,2774653212.53411,ETHUSDT,12,37.62598955698931,1678.7978,-34.40647185075119
2022-06-28,1191.89,1239.66,1135.65,1143.5,5830850.719,2022-06-29,6943637262.86077,4636465,2906077.440,3462737385.57925,ETHUSDT,10,35.519034804890026,1657.1182000000001,-37.628520156869584
2022-06-29,1143.51,1156.76,1085.60,1099.32,6255310.525,2022-06-30,6996782558.42135,4444997,3143527.861,3516835185.89043,ETHUSDT,13,33.66583719852047,1632.2874000000002,-38.03680635797425
2022-06-30,1099.33,1106.60,995.00,1070.85,8433372.481,2022-07-01,8776684715.97994,5239898,4256271.840,4428609787.73980,ETHUSDT,11,32.489452396068536,1612.0248,-40.630700057104534
2022-07-01,1070.90,1118.21,1032.65,1059.24,7465681.271,2022-07-02,7965023016.58434,5131299,3811163.096,4067283447.79685,ETHUSDT,11,31.99841130195216,1594.014,-41.329020322478804
2022-07-02,1059.16,1078.98,1026.16,1066.53,3974288.532,2022-07-03,4182655936.29859,2814030,2022531.688,2129331251.02958,ETHUSDT,14,32.68636386042666,1575.1748,-42.63222724852214
2022-07-03,1066.53,1088.00,1040.01,1073.9,3749708.763,2022-07-04,3986193835.78978,2591145,1898349.390,2018697292.63453,ETHUSDT,11,33.419711246377254,1555.5528000000004,-40.753940450510584
2022-07-04,1073.91,1160.68,1044.33,1150.23,5930747.625,2022-07-05,6505251168.91222,3839661,3105776.893,3408756160.04084,ETHUSDT,14,40.633458239557,1535.6760000000002,-35.77793659478956
2022-07-05,1150.23,1176.00,1075.00,1131.8,7139408.684,2022-07-06,8047372440.06900,4737072,3610624.075,4070323822.26865,ETHUSDT,19,39.5200673477717,1517.8542000000002,-36.70128577261008
2022-07-06,1131.81,1205.45,1111.03,1186.37,6534667.739,2022-07-07,7479228870.10764,4401264,3374963.801,3864434806.52849,ETHUSDT,18,44.379772711441305,1499.7816,-28.615782664941793
2022-07-07,1186.36,1254.82,1162.93,1236.92,5320583.171,2022-07-08,6422728354.47917,3715357,2749124.488,3319897966.04818,ETHUSDT,18,48.50735491625926,1486.236,-19.271108674511645
