Date,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume,Cryptoname,FAGI,RSI,MA_50,ROC_26
2021-01-29,1330.28,1443.00,1285.46,1381.99,5010264.423,2021-01-30,6852570488.05573,3646547,2406600.666,3291810474.31575,ETHUSDT,77,60.35356269391052,960.89,40.98486085040398
2021-01-30,1382.14,1409.35,1328.00,1380.48,2364036.673,2021-01-31,3218442098.50122,2016654,1159814.103,1579703446.13367,ETHUSDT,76,60.25909975335328,977.6048000000001,32.34270594664035
2021-01-31,1380.42,1383.70,1281.96,1313.12,2091898.285,2021-02-01,2789247028.64788,1745459,980938.920,1307931119.23746,ETHUSDT,78,56.04499616190278,992.5003999999999,19.234715651644883
2021-02-01,1313.09,1379.73,1270.00,1376.48,2282184.993,2021-02-02,3023615300.24649,1841919,1133593.179,1502912473.80172,ETHUSDT,77,58.952792331341165,1008.2118,13.511017284602183
2021-02-02,1376.74,1551.50,1363.00,1516.26,5098356.241,2021-02-03,7431220730.79352,3355992,2499526.773,3644007625.73950,ETHUSDT,76,64.52794248579954,1026.8103999999998,23.56248777625661
2021-02-03,1516.20,1672.76,1510.76,1666.0,4407760.724,2021-02-04,6966221755.17020,3190764,2171799.519,3434502838.53946,ETHUSDT,78,69.33322124008305,1048.3544,36.73782614762103
2021-02-04,1666.10,1703.37,1557.00,1596.0,4966516.757,2021-02-05,8136508279.05647,3470922,2348069.915,3848825179.12879,ETHUSDT,80,64.90666109293323,1067.5184,24.69139660614394
2021-02-05,1595.93,1767.19,1592.46,1721.16,3518469.104,2021-02-06,5947779584.53895,2628410,1716851.526,2902204413.55335,ETHUSDT,81,68.74857016213194,1089.0792,36.82152055709244
2021-02-06,1721.03,1748.11,1647.09,1679.34,2991060.685,2021-02-07,5059220432.83740,2363495,1409797.953,2385307408.24346,ETHUSDT,84,66.14296152633244,1109.5757999999998,54.50162842475204
2021-02-07,1679.38,1695.50,1490.48,1611.99,4063794.078,2021-02-08,6470840190.45740,2835190,1915828.659,3050520627.62823,ETHUSDT,86,62.063348470902504,1128.6394,53.40305666051275
2021-02-08,1612.00,1782.50,1566.22,1755.61,3884050.435,2021-02-09,6554958213.11899,2752510,1876643.362,3167309739.18909,ETHUSDT,83,66.77014845495606,1150.9862,55.30874026893133
2021-02-09,1755.60,1830.47,1713.20,1770.79,3388435.791,2021-02-10,5963865015.44841,2375549,1627361.442,2865302390.73438,ETHUSDT,95,67.23289832899539,1174.2384000000002,43.40006154543836
2021-02-10,1770.99,1848.00,1680.00,1743.31,3442140.650,2021-02-11,6073425415.15680,2403599,1636112.194,2888417255.13224,ETHUSDT,92,65.455862842744,1196.3606,49.155109129954916
2021-02-11,1743.30,1827.07,1704.21,1789.32,2256762.199,2021-02-12,3999256495.29382,1755149,1084742.684,1922113256.62648,ETHUSDT,93,67.02727219175894,1220.4402,45.45070273697557
2021-02-12,1789.32,1872.86,1740.22,1843.08,2650816.264,2021-02-13,4780809285.80296,1942543,1295528.595,2337379584.14198,ETHUSDT,92,68.8124751678855,1245.0556,49.39329339958336
2021-02-13,1843.08,1878.88,1764.79,1818.02,2381458.551,2021-02-14,4331083291.86820,1795873,1132071.471,2059477700.42715,ETHUSDT,92,66.99168411596048,1268.8724,43.9457161181007
2021-02-14,1817.86,1857.67,1785.23,1803.59,1773668.237,2021-02-15,3236470817.88099,1480018,819483.085,1495445756.79576,ETHUSDT,95,65.91021136088703,1292.1862,31.8886150741128
2021-02-15,1804.00,1839.63,1652.00,1781.34,3238695.810,2021-02-16,5714101385.26495,2238984,1524726.195,2691076800.47953,ETHUSDT,93,64.18950377563863,1314.0936,29.153736840578865
2021-02-16,1781.34,1831.58,1726.01,1784.31,2536777.874,2021-02-17,4526508138.96013,1955052,1194945.841,2132951128.29046,ETHUSDT,95,64.32339404579486,1335.1584,60.57071893307416
2021-02-17,1784.31,1864.26,1735.66,1849.86,2340915.266,2021-02-18,4236223610.15366,1854144,1135793.751,2056039289.37651,ETHUSDT,95,67.23510579482416,1357.4866,49.84083269207403
2021-02-18,1849.87,1955.00,1849.37,1941.26,2447343.966,2021-02-19,4677799273.31045,1991785,1191392.013,2277217716.61076,ETHUSDT,91,70.8121560811436,1381.2509999999997,57.10308660958515
2021-02-19,1941.12,1980.00,1894.00,1958.58,1943898.870,2021-02-20,3766473154.64299,1688871,932775.410,1807574899.99218,ETHUSDT,93,71.44827025845272,1405.6787999999997,40.47653201744319
2021-02-20,1958.59,2048.00,1792.00,1914.58,3273599.601,2021-02-21,6470877708.60090,2451990,1536660.896,3041162056.43990,ETHUSDT,91,67.42793394540665,1429.375,45.19683606221704
2021-02-21,1914.51,1981.04,1885.00,1934.75,2039425.917,2021-02-22,3961287537.73876,1712993,995068.871,1933114330.09426,ETHUSDT,91,68.30828189068004,1452.5695999999998,41.38775211926337
2021-02-22,1934.59,1938.50,1552.20,1778.3,4972903.814,2021-02-23,8838825736.40233,3509281,2326381.120,4138255022.73987,ETHUSDT,94,55.726901409511335,1468.5307999999998,43.579185337693275
2021-02-23,1778.22,1784.08,1348.17,1579.75,7089349.585,2021-02-24,10942958835.92679,5372037,3459134.535,5344360525.28816,ETHUSDT,94,44.51992689848854,1479.2635999999998,18.790699772908436
2021-02-24,1579.75,1714.04,1501.09,1623.98,3593348.017,2021-02-25,5867227964.60702,2633258,1785428.893,2915517539.60368,ETHUSDT,76,47.07338838077781,1489.7174,17.510256948313664
2021-02-25,1623.94,1672.49,1458.00,1482.09,2955804.261,2021-02-26,4711814880.46952,2157420,1461321.977,2332154574.30433,ETHUSDT,79,40.61533206935687,1495.1064000000001,7.360483310152982
2021-02-26,1482.13,1563.66,1401.01,1445.28,3880051.012,2021-02-27,5737181606.49004,2740047,1954660.213,2891941974.25923,ETHUSDT,55,39.11606088907036,1499.4696000000001,10.064579017911546
2021-02-27,1445.36,1530.19,1425.50,1458.65,2530875.338,2021-02-28,3756706927.66827,2054630,1242834.507,1844965913.39560,ETHUSDT,56,39.98265795803469,1504.2748000000001,5.969574567011513
2021-02-28,1458.64,1469.44,1292.80,1419.77,4109392.696,2021-03-01,5629627203.07104,3035122,2029795.168,2780533897.34832,ETHUSDT,55,38.27647371794342,1507.0710000000001,-6.3636843285452365
2021-03-01,1419.96,1573.42,1411.10,1571.2,2727916.510,2021-03-02,4093786528.92125,2130657,1385148.650,2078534377.72257,ETHUSDT,38,47.64704033558589,1513.3357999999998,-5.6902761104441755
